dwd_wh_dsc_outbound_line_dtl_di.wms_company_id,dwd_wh_dsc_outbound_line_dtl_di.wms_company_name,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_outbound_line_dtl_di.sku_code,dwd_wh_dsc_outbound_line_dtl_di.sku_name,dwd_wh_dsc_outbound_line_dtl_di.sku_desc,dwd_wh_dsc_outbound_line_dtl_di.sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.batch_number,dwd_wh_dsc_outbound_line_dtl_di.serial_number,dwd_wh_dsc_outbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.order_id,dwd_wh_dsc_outbound_line_dtl_di.order_line,dwd_wh_dsc_outbound_line_dtl_di.order_status,dwd_wh_dsc_outbound_line_dtl_di.order_type,dwd_wh_dsc_outbound_line_dtl_di.launch_number,dwd_wh_dsc_outbound_line_dtl_di.pick_no,dwd_wh_dsc_outbound_line_dtl_di.pick_create_date,dwd_wh_dsc_outbound_line_dtl_di.required_ship_date,dwd_wh_dsc_outbound_line_dtl_di.inventory_status,dwd_wh_dsc_outbound_line_dtl_di.original_order_qty,dwd_wh_dsc_outbound_line_dtl_di.allocated_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.quantity_um,dwd_wh_dsc_outbound_line_dtl_di.volume_um,dwd_wh_dsc_outbound_line_dtl_di.weight_um,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.priority,dwd_wh_dsc_outbound_line_dtl_di.closed_date,dwd_wh_dsc_outbound_line_dtl_di.create_date,dwd_wh_dsc_outbound_line_dtl_di.last_modified_date,dwd_wh_dsc_outbound_line_dtl_di.src_inc_day,dwd_wh_dsc_outbound_line_dtl_di.data_source,dwd_wh_dsc_outbound_line_dtl_di.shipment_id,dwd_wh_dsc_outbound_line_dtl_di.inc_day,dwd_wh_dsc_outbound_line_dtl_di.src
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022428,463669,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:19:53,2021-06-11 08:46:18,20210803,scale_jiq,83555,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022488,463670,900.0,null,153080,null,null,2021-06-09 00:00:00,null,600.0,null,600.0,0.0,8940.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:21:30,2021-06-11 08:46:19,20210803,scale_jiq,83556,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022433,463671,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:25,2021-06-09 09:34:37,2021-06-11 08:46:00,20210803,scale_jiq,83557,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022347,463672,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:36:27,2021-06-11 08:46:01,20210803,scale_jiq,83558,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022469,463673,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:38:06,2021-06-11 08:46:03,20210803,scale_jiq,83559,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022358,463674,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:39:58,2021-06-11 08:46:04,20210803,scale_jiq,83560,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022353,463675,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:41:43,2021-06-11 08:46:05,20210803,scale_jiq,83561,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022366,463676,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:43:36,2021-06-11 08:46:06,20210803,scale_jiq,83562,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022417,463677,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:45:29,2021-06-11 08:46:07,20210803,scale_jiq,83563,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022373,463678,900.0,null,153080,null,null,2021-06-09 00:00:00,null,600.0,null,600.0,0.0,8940.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:47:01,2021-06-11 08:46:08,20210803,scale_jiq,83564,20210611,scale
