wms_company_id,sku_code,order_id,shipment_id,order_line,original_order_qty,shipped_qty,create_date,closed_date
Michelin,412586_105,CTSC21061001,178495.0,1147426.0,9.0,9.0,2021-06-10 07:56:01,2021-06-11 10:29:49
Michelin,677456_107,CTSC21061001,178495.0,1147423.0,1.0,1.0,2021-06-10 07:56:01,2021-06-11 10:29:49
Michelin,412586_105,CTSC21061001,178495.0,1147425.0,36.0,36.0,2021-06-10 07:56:01,2021-06-11 10:29:49
Michelin,428635_101,3899065,177709.0,1142310.0,420.0,420.0,2021-06-07 07:06:09,2021-06-12 19:13:04
Michelin,428635_101,3899067,177710.0,1142311.0,420.0,420.0,2021-06-07 07:06:09,2021-06-12 19:13:04
Michelin,439132_101,3899111,177713.0,1142314.0,405.0,405.0,2021-06-07 07:11:04,2021-06-12 13:16:21
Michelin,243266_101,3915535,178497.0,1147464.0,110.0,110.0,2021-06-10 08:11:04,2021-06-12 19:12:46
Michelin,243266_101,3915535,178497.0,1147463.0,196.0,196.0,2021-06-10 08:11:04,2021-06-12 19:12:46
Michelin,243266_101,3915535,178497.0,1147462.0,182.0,182.0,2021-06-10 08:11:04,2021-06-12 19:12:46
Michelin,243266_101,3915535,178497.0,1147461.0,16.0,16.0,2021-06-10 08:11:04,2021-06-12 19:12:46
Michelin,693182_102,3915537,178498.0,1147465.0,480.0,480.0,2021-06-10 08:16:01,2021-06-12 19:12:46
Michelin,389858_111,3917939,178585.0,1148373.0,350.0,350.0,2021-06-11 02:01:01,2021-06-12 19:12:55
Michelin,243266_101,3918034,178593.0,1148402.0,504.0,504.0,2021-06-11 02:51:01,2021-06-12 19:12:46
Michelin,710345_120,3918243,178653.0,1149413.0,340.0,17.0,2021-06-11 04:51:02,2021-06-12 13:11:18
Michelin,710345_120,3918243,178653.0,1148517.0,340.0,323.0,2021-06-11 04:51:02,2021-06-12 13:11:18
Michelin,825202_109,3918285,178655.0,1148519.0,800.0,800.0,2021-06-11 05:06:01,2021-06-13 14:18:47
Michelin,825202_109,3918287,178654.0,1148518.0,800.0,800.0,2021-06-11 05:06:01,2021-06-13 14:18:47
Michelin,428635_101,3919702,178763.0,1149251.0,420.0,420.0,2021-06-11 09:31:04,2021-06-13 18:38:30
