wms_company_id,sku_code,asn_id,original_qty,receive_qty,create_time,closed_date,asn_line_id,inc_day
Pernod,AB1626,ONEYLIVB12179900,540,540,2021/5/31 6:28,2021/6/4 15:59,249098,20210604
Pernod,AB1626,ONEYLIVB12179900,204,204,2021/5/31 6:28,2021/6/4 15:59,249097,20210604
Pernod,16137,ONEYLIVB12182300,12600,12600,2021/6/2 2:30,2021/6/4 13:33,249036,20210604
Pernod,16137,ONEYLIVB14994900,12600,12600,2021/6/2 2:29,2021/6/4 13:33,249035,20210604
Pernod,5783,OOLU2662157760,6336,6336,2021/6/1 9:01,2021/6/4 8:28,249023,20210604
Pernod,ZJJ0057,ONEYDUBB00901700,9000,9000,2021/6/3 6:36,2021/6/7 13:17,249055,20210607
Pernod,30087,ONEYGOTB04424600,1980,1980,2021/6/4 3:12,2021/6/7 17:01,249087,20210607
Pernod,30087,ONEYGOTB04424600,5940,5940,2021/6/4 3:12,2021/6/7 17:01,249089,20210607
Pernod,30087,ONEYGOTB04424600,5940,5940,2021/6/4 3:12,2021/6/7 17:01,249088,20210607
Pernod,Z036068,ONEYGOTB04425700,6600,6600,2021/6/4 3:07,2021/6/7 13:17,249083,20210607
Pernod,BT0030,ONEYLIVB10366500,18900,18900,2021/6/2 4:39,2021/6/7 17:01,249038,20210607
Pernod,BF0936,ONEYLIVB12144800,18900,13800,2021/5/31 6:23,2021/6/7 11:12,249000,20210607
Pernod,BF0936,ONEYLIVB12144800,5100,5100,2021/5/31 6:23,2021/6/7 11:12,249099,20210607
Pernod,BF0936,ONEYLIVB12147400,18840,15780,2021/5/31 6:25,2021/6/7 11:12,249001,20210607
Pernod,BF0936,ONEYLIVB12147400,3060,3060,2021/5/31 6:25,2021/6/7 11:12,249100,20210607
Pernod,15026,ONEYLIVB12148500,12600,12600,2021/6/3 6:40,2021/6/7 17:00,249060,20210607
Pernod,LMN306,ONEYLIVB12156400,708,708,2021/5/31 6:21,2021/6/7 11:12,248996,20210607
Pernod,LMN506,ONEYLIVB12156400,750,750,2021/5/31 6:21,2021/6/7 11:12,248998,20210607
Pernod,11108,ONEYLIVB12156400,1038,1038,2021/5/31 6:21,2021/6/7 11:12,248999,20210607
Pernod,BOG006,ONEYLIVB12156400,150,150,2021/5/31 6:21,2021/6/7 11:12,248993,20210607
Pernod,LMN406,ONEYLIVB12156400,2316,2316,2021/5/31 6:21,2021/6/7 11:12,248997,20210607
Pernod,BOG106,ONEYLIVB12156400,342,342,2021/5/31 6:21,2021/6/7 11:12,248994,20210607
Pernod,BOG206,ONEYLIVB12156400,720,720,2021/5/31 6:21,2021/6/7 11:12,248995,20210607
Pernod,15307,ONEYLIVB12428600,4800,4800,2021/6/3 6:39,2021/6/7 13:17,249057,20210607
Pernod,AB0086,ONEYLIVB12428600,84,84,2021/6/3 6:39,2021/6/7 13:17,249059,20210607
Pernod,15647,ONEYLIVB12428600,1119,1119,2021/6/3 6:39,2021/6/7 13:17,249058,20210607
Pernod,ZBT0066,ONEYLIVB12433900,3108,3108,2021/6/2 2:24,2021/6/7 11:12,249028,20210607
Pernod,ZBT1006,ONEYLIVB12433900,6600,6600,2021/6/2 2:24,2021/6/7 11:12,249029,20210607
Pernod,Z011275,ONEYLIVB12433900,1200,1200,2021/6/2 2:24,2021/6/7 11:12,249027,20210607
Pernod,AB0086,ONEYLIVB14768800,3600,3600,2021/6/3 6:38,2021/6/7 13:17,249056,20210607
Pernod,35207,ONEYGOTB03735300,3300,3300,2021/6/4 3:11,2021/6/8 13:52,249086,20210608
Pernod,35207,ONEYGOTB03735300,10560,10560,2021/6/4 3:11,2021/6/8 13:52,249085,20210608
Pernod,35207,ONEYGOTB03736400,7920,7920,2021/6/4 3:15,2021/6/8 8:25,249092,20210608
Pernod,35207,ONEYGOTB03736400,3960,3960,2021/6/4 3:15,2021/6/8 8:25,249091,20210608
Pernod,35207,ONEYGOTB03736400,1980,1980,2021/6/4 3:15,2021/6/8 8:25,249090,20210608
Pernod,30012,ONEYGOTB03737500,20160,20160,2021/6/4 3:09,2021/6/8 13:52,249084,20210608
Pernod,30087,ONEYGOTB03740600,13860,13860,2021/6/4 3:17,2021/6/8 8:25,249093,20210608
Pernod,3603,ONEYLEHB07646500,1344,1344,2021/6/3 6:35,2021/6/8 8:25,249111,20210608
Pernod,3603,ONEYLEHB07646500,5376,4032,2021/6/3 6:35,2021/6/8 8:25,249053,20210608
Pernod,7662,ONEYLEHB07646500,7056,7056,2021/6/3 6:35,2021/6/8 8:25,249054,20210608
Pernod,BT1027,ONEYLIVB11755800,18900,18900,2021/6/2 2:28,2021/6/8 8:25,249034,20210608
Pernod,BT0126,ONEYLIVB12152700,13128,13128,2021/5/31 6:26,2021/6/8 8:25,249002,20210608
Pernod,DBSP18,OOLU2121009250,9240,9240,2021/6/3 8:58,2021/6/8 13:52,249145,20210608
Pernod,DBSP18,OOLU2121009250,18480,9240,2021/6/3 8:58,2021/6/8 13:52,249072,20210608
Pernod,DBS0N8,OOLU2121009255,18480,18480,2021/6/3 8:56,2021/6/8 13:52,249071,20210608
Pernod,DBR0N7,OOLU2121009256,3360,3360,2021/6/3 8:59,2021/6/8 17:06,249074,20210608
Pernod,DBR518,OOLU2121009256,6720,6720,2021/6/3 8:59,2021/6/8 17:06,249075,20210608
Pernod,DBLB18,OOLU2121009256,3240,3240,2021/6/3 8:59,2021/6/8 17:06,249073,20210608
Pernod,DBL2N7,OOLU2121009258,10920,10920,2021/6/3 8:54,2021/6/8 17:06,249068,20210608
Pernod,DBL119,OOLU2121009258,5880,5880,2021/6/3 8:54,2021/6/8 17:06,249067,20210608
Pernod,DBL317,OOLU2121009259,12600,12600,2021/6/3 8:55,2021/6/8 17:06,249070,20210608
Pernod,DBC118,OOLU2121009259,5880,1680,2021/6/3 8:55,2021/6/8 17:06,249069,20210608
Pernod,DBC118,OOLU2121009259,4200,4200,2021/6/3 8:55,2021/6/8 17:06,249150,20210608
Pernod,26039,HLCUME3210454111,12480,12480,2021/6/7 3:45,2021/6/9 15:09,249102,20210609
Pernod,26039,HLCUME3210454155,12480,12480,2021/6/7 3:44,2021/6/9 15:09,249101,20210609
Pernod,5602,ONEYLEHB07885300,6300,6300,2021/6/8 8:55,2021/6/9 7:41,249148,20210609
Pernod,5602,ONEYLEHB07885300,1608,1608,2021/6/8 8:55,2021/6/9 7:41,249147,20210609
Pernod,5602,ONEYLEHB07885300,912,912,2021/6/8 8:55,2021/6/9 7:41,249146,20210609
Pernod,9620,ONEYLEHB07885300,2880,2880,2021/6/8 8:55,2021/6/9 7:41,249149,20210609
Pernod,11468,ONEYLIVB14996400,6480,6480,2021/6/7 7:40,2021/6/9 13:44,249151,20210609
Pernod,11468,ONEYLIVB14996400,15120,8040,2021/6/7 7:40,2021/6/9 13:44,249110,20210609
Pernod,11468,ONEYLIVB14996400,360,360,2021/6/7 7:40,2021/6/9 13:44,249152,20210609
Pernod,11468,ONEYLIVB14996400,240,240,2021/6/7 7:40,2021/6/9 13:44,249153,20210609
Pernod,11468,ONEYLIVB14998600,15120,13680,2021/6/7 7:39,2021/6/9 13:44,249109,20210609
Pernod,11468,ONEYLIVB14998600,1440,1440,2021/6/7 7:39,2021/6/9 13:44,249154,20210609
Pernod,ML0640,OOLU2121372360,678,678,2021/6/7 7:36,2021/6/9 13:44,249106,20210609
Pernod,ML0640,OOLU2121372360,180,180,2021/6/7 7:36,2021/6/9 13:44,249108,20210609
Pernod,ML0640,OOLU2121372360,12822,12822,2021/6/7 7:36,2021/6/9 13:44,249107,20210609
Pernod,MK0610,YMLUN651080656,3192,3192,2021/6/7 7:35,2021/6/9 13:49,249104,20210609
Pernod,MK0004,YMLUN651080656,12768,12768,2021/6/7 7:35,2021/6/9 13:49,249105,20210609
Pernod,MK0510,YMLUN651080656,3990,3990,2021/6/7 7:35,2021/6/9 13:49,249103,20210609
Pernod,KA0680,COSU6288762070,10080,10080,2021/6/8 2:51,2021/6/10 16:33,249112,20210610
Pernod,5797,YMLUN800088085,2160,2160,2021/6/8 3:18,2021/6/10 13:15,249159,20210610
Pernod,5797,YMLUN800088085,15840,7200,2021/6/8 3:18,2021/6/10 13:15,249141,20210610
Pernod,5797,YMLUN800088085,3600,3600,2021/6/8 3:18,2021/6/10 13:15,249158,20210610
Pernod,5797,YMLUN800088085,2880,2880,2021/6/8 3:18,2021/6/10 13:15,249157,20210610
