,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,TRSC #,Ship ID,awb,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE
52,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426850,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-15,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
53,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426852,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-16,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
54,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426854,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-17,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
55,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426856,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-18,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
56,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426858,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-19,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
57,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426860,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-20,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
58,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426862,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-21,SHIP-1,72,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
59,FAS,Pernod,5/31/2021,6/1/2021,015558,格兰威特单一麦芽苏格兰威士忌15年法国橡木桶陈酿 6 X 70CL,Order Pick,Jin2 Normal,6427186,42021906,ONEYLIVB07974900,,20016064.0,383716.0,,2-31-D-12,SHIP-1,24,BT,2/25/2021  12:00:00 AM,Order Pick,A-FAS
60,FAS,Pernod,5/31/2021,6/1/2021,015558,格兰威特单一麦芽苏格兰威士忌15年法国橡木桶陈酿 6 X 70CL,Order Pick,Jin2 Normal,6427176,42021908,ONEYLIVB07974900,,20016064.0,383716.0,,2-31-D-12,SHIP-1,10,BT,2/25/2021  12:00:00 AM,Order Pick,A-FAS
61,FAS,Pernod,5/31/2021,6/1/2021,015558,格兰威特单一麦芽苏格兰威士忌15年法国橡木桶陈酿 6 X 70CL,Order Pick,Jin2 Normal,6427182,42021908,ONEYLIVB07974900,,20016064.0,383716.0,,2-31-D-14,SHIP-1,8,BT,2/25/2021  12:00:00 AM,Order Pick,A-FAS
62,FAS,Pernod,5/31/2021,6/1/2021,BT0816,百龄坛单一麦芽苏格兰威士忌15年陈酿弥尔顿达夫系列 6 X 70CL,Order Pick,Paid Normal,6427178,42021908,,,,,,2-39-A-02,SHIP-1,6,BT,10/16/2017  12:00:00 AM,Order Pick,A-FAS
63,FAS,Pernod,5/31/2021,6/1/2021,BT0806,百龄坛单一麦芽苏格兰威士忌15年陈酿格伦伯吉系列 6 X 70CL,Order Pick,Paid Normal,6427180,42021908,,,,,,2-37-A-17,SHIP-1,6,BT,10/17/2017  12:00:00 AM,Order Pick,A-FAS
64,FAS,Pernod,5/31/2021,6/1/2021,BT1143,百龄坛特醇苏格兰威士忌 24 X 20CL,Order Pick,Jin2 Normal,6427220,42021884,ONEYLIVB10345900,,20016128.0,383663.0,,2-35-C-24,SHIP-1,119,BT,2/24/2021  12:00:00 AM,Order Pick,A-FAS
65,FAS,Pernod,5/31/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6427222,42021884,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-24,SHIP-1,588,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
66,FAS,Pernod,5/31/2021,6/1/2021,DBS0N7,传说源自拉菲罗斯柴尔德波尔多红葡萄酒-新条码 6 X 75CL,Order Pick,Jin2 Hold,6427202,42021893,,,,,,5-06-B-11,SHIP-1,300,BT,2/25/2020  12:00:00 AM,Order Pick,A-FAS
67,FAS,Pernod,5/31/2021,6/1/2021,JJ0067,尊美醇爱尔兰威士忌 12 X 70CL,Order Pick,Jin2 Normal,6427200,42021893,ONEYDUBB00622700,,92114029.0,394780.0,,2-34-C-21,SHIP-1,26,BT,2/11/2021  12:00:00 AM,Order Pick,A-FAS
68,FAS,Pernod,5/31/2021,6/1/2021,JJ0067,尊美醇爱尔兰威士忌 12 X 70CL,Order Pick,Jin2 Normal,6427204,42021893,ONEYDUBB00622700,,92114029.0,394780.0,,2-34-C-20,SHIP-1,214,BT,2/11/2021  12:00:00 AM,Order Pick,A-FAS
69,FAS,Pernod,5/31/2021,6/1/2021,015026,格兰威特单一麦芽苏格兰威士忌12年陈酿-有盒装 12 X 70CL,Order Pick,Jin2 Normal,6427216,42021893,ONEYLIVB07962600,,20015521.0,383696.0,,2-35-B-24,SHIP-1,120,BT,2/12/2021  12:00:00 AM,Order Pick,A-FAS
70,FAS,Pernod,5/31/2021,6/1/2021,BTB016,百龄坛巴西青柠威士忌风味配制酒 6 X 70CL,Order Pick,Jin2 Normal,6427206,42021893,,,,,,2-44-C-03,SHIP-1,155,BT,2/4/2020  12:00:00 AM,Order Pick,A-FAS
71,FAS,Pernod,5/31/2021,6/1/2021,BTB016,百龄坛巴西青柠威士忌风味配制酒 6 X 70CL,Order Pick,Jin2 Normal,6427208,42021893,,,,,,2-44-C-06,SHIP-1,25,BT,2/4/2020  12:00:00 AM,Order Pick,A-FAS
72,FAS,Pernod,5/31/2021,6/1/2021,BT1143,百龄坛特醇苏格兰威士忌 24 X 20CL,Order Pick,Jin2 Normal,6427210,42021893,ONEYLIVB10345900,,20016128.0,383663.0,,2-35-C-24,SHIP-1,720,BT,2/24/2021  12:00:00 AM,Order Pick,A-FAS
73,FAS,Pernod,5/31/2021,6/1/2021,BT0085,百龄坛特醇苏格兰威士忌-不含内盒 12 X 35CL,Order Pick,Jin2 Normal,6427212,42021893,ONEYLIVB10341500,,20016316.0,369306.0,,2-35-A-01,SHIP-1,360,BT,3/2/2021  12:00:00 AM,Order Pick,A-FAS
74,FAS,Pernod,5/31/2021,6/1/2021,035006,绝对风味伏特加(柠檬味) 6 X 70CL,Order Pick,Jin2 Normal,6427214,42021893,ONEYGOTB00042500,,81051853.0,300277.0,,2-36-B-25,SHIP-1,60,BT,1/13/2021  12:00:00 AM,Order Pick,A-FAS
75,FAS,Pernod,5/31/2021,6/1/2021,015307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,6427196,42021896,ONEYLIVA68556400,,20014784.0,261572.0,,2-42-A-15,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS
76,FAS,Pernod,5/31/2021,6/1/2021,BT0126,百龄坛12年苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6427190,42021905,ONEYLIVB03797800,,20015676.0,393372.0,,2-42-C-02,SHIP-1,4,BT,2/17/2021  12:00:00 AM,Order Pick,A-FAS
77,FAS,Pernod,5/31/2021,6/1/2021,BT0126,百龄坛12年苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6427192,42021905,ONEYLIVB03797800,,20015676.0,393372.0,,2-42-C-03,SHIP-1,248,BT,2/17/2021  12:00:00 AM,Order Pick,A-FAS
78,FAS,Pernod,5/31/2021,6/1/2021,WA0X50,维波罗瓦伏特加 12 X 70CL,Order Pick,Jin2 Normal,6427252,42021837,,,,,,2-33-B-31,SHIP-1,26,BT,1/11/2021  12:00:00 AM,Order Pick,A-FAS
79,FAS,Pernod,5/31/2021,6/1/2021,WA0X50,维波罗瓦伏特加 12 X 70CL,Order Pick,Jin2 Normal,6427254,42021837,,,,,,2-33-B-34,SHIP-1,154,BT,1/11/2021  12:00:00 AM,Order Pick,A-FAS
80,FAS,Pernod,5/31/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6427258,42021836,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-28,SHIP-1,240,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
81,FAS,Pernod,5/31/2021,6/1/2021,BT0064,百龄坛特醇苏格兰威士忌 120 X 5CL,Order Pick,Jin2 Normal,6427246,42021838,ONEYLIVB03770600,,20014973.0,294942.0,,2-25-B-33,SHIP-1,1100,BT,12/31/4712  12:00:00 AM,Order Pick,A-FAS
82,FAS,Pernod,5/31/2021,6/1/2021,BT0064,百龄坛特醇苏格兰威士忌 120 X 5CL,Order Pick,Jin2 Normal,6427248,42021838,ONEYLIVB03770600,,20014973.0,294942.0,,2-25-C-20,SHIP-1,5260,BT,12/31/4712  12:00:00 AM,Order Pick,A-FAS
83,FAS,Pernod,5/31/2021,6/1/2021,BT1143,百龄坛特醇苏格兰威士忌 24 X 20CL,Order Pick,Jin2 Normal,6427228,42021884,ONEYLIVB10345900,,20016128.0,383663.0,,2-27-C-34,SHIP-1,73,BT,2/24/2021  12:00:00 AM,Order Pick,A-FAS
84,FAS,Pernod,5/31/2021,6/1/2021,BT1143,百龄坛特醇苏格兰威士忌 24 X 20CL,Order Pick,Jin2 Normal,6427230,42021884,ONEYLIVB10345900,,20016128.0,383663.0,,2-35-C-20,SHIP-1,1344,BT,2/24/2021  12:00:00 AM,Order Pick,A-FAS
85,FAS,Pernod,5/31/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6427224,42021884,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-25,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
86,FAS,Pernod,5/31/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6427226,42021884,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-26,SHIP-1,840,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
